fd	mg
-380.0000000000007	3.93604018381e-17
-390.0000000000007	3.93618712589e-17
-400.0	3.93633305289e-17
-390.00000000000006	3.93618712589e-17
-380.0	3.93604018381e-17
-370.00000000000006	3.93589221856e-17
-359.99999999999994	3.93574322209e-17
-350.0	3.93559318641e-17
-339.99999999999994	3.93544210361e-17
-330.0	3.93528996585e-17
-319.99999999999994	3.93513676538e-17
-309.99999999999994	3.93498249454e-17
-299.99999999999994	3.93482707859e-17
-289.99999999999994	3.7573230776e-17
-279.99999999999994	3.56326591791e-17
-269.99999999999994	3.38818876581e-17
-259.9999999999999	3.22377539179e-17
-249.9999999999999	3.06876401561e-17
-239.9999999999999	2.92210151015e-17
-229.99999999999986	2.78291101364e-17
-219.99999999999986	2.65046229317e-17
-209.99999999999983	2.5241461482e-17
-199.99999999999983	2.40345297354e-17
-189.99999999999983	2.28795509521e-17
-179.99999999999983	2.17729232932e-17
-169.9999999999998	2.07116020962e-17
-159.9999999999998	1.96930038902e-17
-149.9999999999998	1.87149279846e-17
-139.99999999999977	1.77754922357e-17
-129.9999999999998	1.68730802733e-17
-119.99999999999977	1.60062980393e-17
-109.99999999999976	1.51739379464e-17
-99.99999999999974	1.43749493263e-17
-89.99999999999974	1.36084141147e-17
-79.99999999999974	1.28735269314e-17
-69.99999999999973	1.21695788733e-17
-59.99999999999973	1.14959444546e-17
-49.99999999999971	1.08520712237e-17
-39.9999999999997	1.02374716531e-17
-29.99999999999969	9.65171695926e-18
-19.999999999999684	9.09443255973e-18
-9.999999999999677	8.5652949173e-18
3.3306690738754696e-13	8.06402956512e-18
10.000000000000343	7.5904101429e-18
20.00000000000035	7.14425831213e-18
30.00000000000036	6.72544445162e-18
40.00000000000037	6.33388906773e-18
50.00000000000038	5.9695648846e-18
60.00000000000039	5.63249959443e-18
70.0000000000004	8.1702500624e-18
80.0000000000004	1.28735269314e-17
90.00000000000041	1.36084141147e-17
100.00000000000044	1.43749493263e-17
110.00000000000043	1.51739379464e-17
120.00000000000043	1.60062980393e-17
130.00000000000045	1.68730802733e-17
140.00000000000045	1.77754922357e-17
150.00000000000048	1.87149279846e-17
160.00000000000048	1.96930038902e-17
170.00000000000048	2.07116020962e-17
180.0000000000005	2.17729232932e-17
190.0000000000005	2.28795509521e-17
200.00000000000054	2.40345297354e-17
210.00000000000054	2.5241461482e-17
220.0000000000005	2.65046229317e-17
230.00000000000054	2.78291101364e-17
240.00000000000057	2.92210151015e-17
250.00000000000054	3.06876401561e-17
260.00000000000057	3.22377539179e-17
270.00000000000057	3.38818876581e-17
280.00000000000057	3.56326591791e-17
290.00000000000057	3.7505088733e-17
300.0000000000006	3.93011543838e-17
310.00000000000057	3.93498249944e-17
320.0000000000006	3.93513676538e-17
330.0000000000006	3.93528996585e-17
340.0000000000007	3.93544210361e-17
350.0000000000006	3.93559318641e-17
360.0000000000006	3.93574322209e-17
370.0000000000006	3.93589221856e-17
380.0000000000007	3.93604018381e-17
390.0000000000007	3.93618712589e-17
